"""id""",lat,lon,"""name""",street_no,"""street_name""","""street_type""","""suburb""",postcode,"""sport""","""type""","""lga""","""address"""
"""BAYSID12385""",-37.961185,145.023195,"""Tjilatjirrin Reserve""",,"""Tulip""","""Street""","""SANDRINGHAM""","""3191""","""Softball""","""outdoor""","""BAYSIDE""","""Tulip Street, SANDRINGHAM 3191"""
"""BAYSID12331""",-37.944789,145.000241,"""Trevor Barker Oval""",,"""Beach""","""Road""","""SANDRINGHAM""","""3191""","""Cricket""","""outdoor""","""BAYSIDE""","""Beach Road, SANDRINGHAM 3191"""
"""BAYSID12331""",-37.944789,145.000241,"""Trevor Barker Oval""",,"""Beach""","""Road""","""SANDRINGHAM""","""3191""","""Football""","""outdoor""","""BAYSIDE""","""Beach Road, SANDRINGHAM 3191"""
"""BAYSID12389""",-37.967505,145.046947,"""Cheltenham Golf Club""",,"""Weatherall""","""Road""","""CHELTENHAM""","""3192""","""Golf""","""outdoor""","""BAYSIDE""","""Weatherall Road, CHELTENHAM 3192"""
"""BAYSID12374""",-37.965588,145.048751,"""Cheltenham Park""",,"""Park""","""Road""","""CHELTENHAM""","""3192""","""Cricket""","""outdoor""","""BAYSIDE""","""Park Road, CHELTENHAM 3192"""
"""BAYSID12388""",-37.970663,145.050831,"""Cheltenham Recreation Reserve""",,"""Weatherall""","""Road""","""CHELTENHAM""","""3192""","""Cricket""","""outdoor""","""BAYSIDE""","""Weatherall Road, CHELTENHAM 3192"""
"""BAYSID12388""",-37.970663,145.050831,"""Cheltenham Recreation Reserve""",,"""Weatherall""","""Road""","""CHELTENHAM""","""3192""","""Football""","""outdoor""","""BAYSIDE""","""Weatherall Road, CHELTENHAM 3192"""
"""KINGST10957""",-37.950384,145.068986,"""Keys Road Reserve""",,"""Keys""","""Road""","""CHELTENHAM""","""3192""","""Rugby Union""","""outdoor""","""KINGSTON""","""Keys Road, CHELTENHAM 3192"""
"""KINGST10961""",-37.958722,145.070778,"""Le Page Reserve""",,"""Herald""","""Street""","""CHELTENHAM""","""3192""","""Cricket""","""outdoor""","""KINGSTON""","""Herald Street, CHELTENHAM 3192"""
"""KINGST10961""",-37.958722,145.070778,"""Le Page Reserve""",,"""Herald""","""Street""","""CHELTENHAM""","""3192""","""Football""","""outdoor""","""KINGSTON""","""Herald Street, CHELTENHAM 3192"""
"""KINGST10961""",-37.958722,145.070778,"""Le Page Reserve""",,"""Herald""","""Street""","""CHELTENHAM""","""3192""","""Tennis""","""outdoor""","""KINGSTON""","""Herald Street, CHELTENHAM 3192"""
"""BAYSID12338""",-37.970892,145.030318,"""Royal Melbourne Golf Club""",,"""Cheltenham""","""Road""","""CHELTENHAM""","""3192""","""Lawn Bowls""","""outdoor""","""BAYSIDE""","""Cheltenham Road, CHELTENHAM 3192"""
"""BAYSID12342""",-37.968929,145.048731,"""Shipston Reserve""",,"""Crawford""","""Road""","""CHELTENHAM""","""3192""","""Cricket""","""outdoor""","""BAYSIDE""","""Crawford Road, CHELTENHAM 3192"""
"""BAYSID12342""",-37.968929,145.048731,"""Shipston Reserve""",,"""Crawford""","""Road""","""CHELTENHAM""","""3192""","""Soccer""","""outdoor""","""BAYSIDE""","""Crawford Road, CHELTENHAM 3192"""
"""BAYSID12333""",-37.976708,145.032051,"""Balcombe Park Reserve""",,"""Balcombe""","""Road""","""BEAUMARIS""","""3193""","""Cricket""","""outdoor""","""BAYSIDE""","""Balcombe Road, BEAUMARIS 3193"""
"""BAYSID12333""",-37.976708,145.032051,"""Balcombe Park Reserve""",,"""Balcombe""","""Road""","""BEAUMARIS""","""3193""","""Soccer""","""outdoor""","""BAYSIDE""","""Balcombe Road, BEAUMARIS 3193"""
"""BAYSID12384""",-37.986546,145.042191,"""Banksia Reserve""",,"""Tramway""","""Parade""","""BEAUMARIS""","""3193""","""Cricket""","""outdoor""","""BAYSIDE""","""Tramway Parade, BEAUMARIS 3193"""
"""BAYSID12384""",-37.986546,145.042191,"""Banksia Reserve""",,"""Tramway""","""Parade""","""BEAUMARIS""","""3193""","""Football""","""outdoor""","""BAYSIDE""","""Tramway Parade, BEAUMARIS 3193"""
"""BAYSID12384""",-37.986546,145.042191,"""Banksia Reserve""",,"""Tramway""","""Parade""","""BEAUMARIS""","""3193""","""Tennis""","""outdoor""","""BAYSIDE""","""Tramway Parade, BEAUMARIS 3193"""
